path,blob_sha,lot_proprietaire,methodes,analyses_applicables,raison_exclusion
AGENTS.md,bf04ebc0bee8b99bdc978ffa87af6663f2b0ce48,L15,LECTURE,reconciliation-affirmations,
AUDIT-OUTPUT/sast/bandit-summary.txt,e081f031b0270e4f773db7a869fa6d8087ef9f2a,L15,LECTURE,reconciliation-affirmations,
AUDIT-OUTPUT/sast/bandit.json.gz,8afa6a9d8c519292e661a2b3e10ce602e7c3868d,L15,EXCLU,raison-ecrite,archive — decompressee et son JSON audite en L05
AUDIT-OUTPUT/sast/classification.json,88c622c7a29397e6a62aa12978db7136557a5a23,L15,LECTURE,reconciliation-affirmations,
AUDIT-OUTPUT/sast/scanner-versions.txt,a2d48231281ad07fdf2ad4c0c526044148f2daf0,L15,LECTURE,reconciliation-affirmations,
AUDIT-OUTPUT/sast/semgrep.json,66987b84a199d4dc1d2d4477b6b7126b63d83fe4,L15,LECTURE,reconciliation-affirmations,
CANON/ANNEXE-ATLAS-SECTION4-BRIQUES-20260712.pdf,e502d6f3baec6e4b94711b57a7e95a505dccd40c,L15,EXCLU,raison-ecrite,"binaire non textuel — source du catalogue, verifie structurellement en L09"
CANON/ANNEXE-CATALOGUE-MAITRE-UNIFIE-1021-20260713.pdf,690c341060ede83a8d163262229de7bcacfa82c1,L15,EXCLU,raison-ecrite,"binaire non textuel — source du catalogue, verifie structurellement en L09"
CANON/ETAT-SYSTEME.md,61da59e159030a55aaad08afba5919ffe5d216cc,L15,LECTURE,reconciliation-affirmations,
CANON/PLAN-MAITRE-EXECUTION-BMAD-v1.0.md,a228006c50095d58b744820f3c911d7d58957dbe,L15,LECTURE,reconciliation-affirmations,
CANON/adr/ADR-RAG-004A-grounding-contract.md,c67f5eba8fafa79754fd4ccd12da3e9b2d6e0617,L15,LECTURE,reconciliation-affirmations,
CANON/adr/ADR-SECRET-020A-openbao-unseal-permissions.md,ac5c21fe2e59de51c8793e7423d0d0d89de98b12,L08,SCAN|LECTURE,bandit|semgrep|ruff|mypy|lecture-secrets,
CANON/adr/ADR-TRUST-019A-registres-modele-de-menace-racine-confiance.md,711a6c339aa13c94460e0811ac59c211d7ef15ae,L15,LECTURE,reconciliation-affirmations,
CANON/catalogue-maitre-unifie-1021.txt,8abaaebe62e6a21fe5a033271e5d36501fdd4158,L15,LECTURE,reconciliation-affirmations,
CANON/directives-perimetre.md,055c00b7d5ea1b5a082e06ae6b3d03adb10b2639,L15,LECTURE,reconciliation-affirmations,
CANON/exigences-produit.md,e335b4919f6830273198f8584fbe9f19a8f43a90,L15,LECTURE,reconciliation-affirmations,
CANON/plan-integral.md,539ab39c2726f56e7f4ee901470b9d09220bc479,L15,LECTURE,reconciliation-affirmations,
CANON/revue-template.md,a002a5ae38444c8444ddfe8473fb39ea666c44b7,L15,LECTURE,reconciliation-affirmations,
CANON/spec-stacks.md,1241e06db327e5fb09cd1281154a32dc72e620f1,L15,LECTURE,reconciliation-affirmations,
CANON/spec-web-ui.md,b540ef025277aabb46d2d9f047f3629f439ac8fa,L15,LECTURE,reconciliation-affirmations,
CLAUDE.md,d62ed91b7d51d0f2a59934976c2b75f21d5b7e89,L15,LECTURE,reconciliation-affirmations,
Docs/BASELINE-CLI-DOC.json,0deffd36f944e59a700460f779726fb74d96f9a1,L15,LECTURE,reconciliation-affirmations,
Docs/README.md,d9c90c947528213806e23657b86c8041aeed60c2,L15,LECTURE,reconciliation-affirmations,
Docs/audit/SAST-042.md,1f28124e854232d57a697885ae20df48e1d0f515,L15,LECTURE,reconciliation-affirmations,
Docs/explanation/ADR-0001-structure-docs.md,cf8040adff61481e4245117914906793d8c00a78,L15,LECTURE,reconciliation-affirmations,
Docs/explanation/epic-FAI-0005-openbao-production.md,fc151b042e8a507af052d94956a29814a45cc24d,L08,SCAN|LECTURE,bandit|semgrep|ruff|mypy|lecture-secrets,
Docs/how-to/openbao-migration.md,09e383b92a3b53f961717392183fd04f48d76afc,L08,SCAN|LECTURE,bandit|semgrep|ruff|mypy|lecture-secrets,
Docs/reference/catalogue-gate.md,a4338d2b8e3d4a7490616f1cee7db83fcc8c9e70,L15,LECTURE,reconciliation-affirmations,
Docs/reference/cli.md,2643b3331f4153bdd13a67a5d17503ca69883757,L15,LECTURE,reconciliation-affirmations,
Docs/reference/gpu-drivers-support.md,b9ec6d7912f238e22d83d4346c44c136ac44c5bc,L15,LECTURE,reconciliation-affirmations,
Docs/reference/plugin-gate.md,29ce829e1980e877e685ae1af287f896190a1328,L15,LECTURE,reconciliation-affirmations,
Docs/reference/proof-ubuntu-vierge.md,78cd04cd5f816791471e871bc870b6cc84f89621,L15,LECTURE,reconciliation-affirmations,
Docs/reference/reeval-defaults.md,de5712bde0bd0f8a90640a5a2987bab2bbd60142,L15,LECTURE,reconciliation-affirmations,
LICENSE,d645695673349e3947e8e5ae42332d0ac3164cd7,L18,SCAN|LECTURE,revue-manuelle,
MASTER-PLAN.md,88f1b915cf597da560ca710f2c18578f6f8db391,L15,LECTURE,reconciliation-affirmations,
Phase-A/architecture-glm.md,d5c1bf8635e29daf5e72fe1f89e8ef449f005c2b,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-pilote-qwen.yaml,5e8d0f428ee180d4970bc50c5c5ee884ed0881f6,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-01-qwen.yaml,2b5b184ae1822f48ae37ba23acf6f1ad191651f4,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-02a-qwen.yaml,0b0de190c7c72cbfc145e1c8f9ea2d085c10db5d,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-02b-qwen.yaml,c8d5ec14da98934b1e5cb267aad90e63ae981e02,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-03a-qwen.yaml,eb0c57086f3451a543719178bc0f40c8794d4fc4,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-03b-qwen.yaml,44f36cf480660239f75f8ecbebac25d6755c8f87,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-04a-qwen.yaml,e663a6f7c9d578c4f4ce534fabd2fcf886614513,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-04b-qwen.yaml,f8471985be8c4a026c2fc34eefa102fd6a0b8c71,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-05a-qwen.yaml,f51dd60cb3e681b5055714e0debe187d01ac55a9,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-05b-qwen.yaml,d09fd1a404dda91ea3fab8719e2b228d575e746e,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-05c-qwen.yaml,4ff3664044da459c728753282c369b20b5cd93d6,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-06a-qwen.yaml,8f454253916828c51358781d499e7ef6b13f9303,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-06b-qwen.yaml,6edbc0bc1a330eddb379e79d08c7c887bfbd47c1,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-07-qwen.yaml,568e7b2e4f9234007c74f2e89b3518a29ba352a3,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-08-qwen-longcat.yaml,b33719c1ca1e6dd1d7e7f78c488172369e88fc0d,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-09-qwen.yaml,47d3ddca00fe5680e3d3abf3cc3cbc7361550e2a,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-10-qwen.yaml,6c99dc47943b17cc2ab2483a9ff1233c7ce4049d,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-11-qwen.yaml,92e9e073659a0f6a332c43c5c9904df41fb7b551,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-12-qwen.yaml,00e95d914fb64f699667c4ef5bd6a64f969d8f90,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-13-qwen.yaml,1f10cbf80d3ec7cfd4ceace2c112358b3d6ca582,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-14-qwen.yaml,f4bef7881bfc81718ee2e5798c0d4eff85662573,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-15-qwen.yaml,e0a1f9da4a76911efeac24e290a71688a06e1fc9,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-16-qwen.yaml,0ab00102703b5c0ec51b539e1656af4548e7495b,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-17-qwen.yaml,1441423cc9c278487c3fc8bad59c2db594656b6f,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-18-qwen-longcat.yaml,10746225bff17ff2a9a262a44677e5d4e470a4e2,L15,LECTURE,reconciliation-affirmations,
Phase-A/catalogue-production-19-qwen.yaml,d3ae84cba9801d87c79bda0c5ef5b7193a9a902c,L15,LECTURE,reconciliation-affirmations,
Phase-A/manifests-mimo/gates.yaml,ad3c9cf2692d4f42ad5b5e21e76ee7c7af98dde9,L15,LECTURE,reconciliation-affirmations,
Phase-A/manifests-mimo/phases.yaml,b332c3ef099b5eac6e4ac1a9360c4a48165b8ce6,L15,LECTURE,reconciliation-affirmations,
Phase-A/matrice-tests-grok.md,07bbd638150ad7c90d07ba34c8ec1ff316ef30ee,L15,LECTURE,reconciliation-affirmations,
Phase-A/revue-securite-multinoeuds-longcat.md,b40d91204525cd7804bed2995e7c04f65e25036d,L15,LECTURE,reconciliation-affirmations,
Phase-A/revue-ux-gemini.md,4495e92c9e4767ff217472d03367856c32ab4452,L15,LECTURE,reconciliation-affirmations,
Phase-A/risques-deepseek.md,9af7b37867bbb63f577705266cea49825077e962,L15,LECTURE,reconciliation-affirmations,
Phase-A/spec-tui-composer.md,121414b8d352b4b3346f0647e44fb6f4b71787e9,L15,LECTURE,reconciliation-affirmations,
Phase-A/stories-kimi.md,bf6573d06647e4746603cfc86b599d201c593fd2,L15,LECTURE,reconciliation-affirmations,
README.md,b4d830e194629820d45aced675ba438b801752f8,L15,LECTURE,reconciliation-affirmations,
Rapports/audit-derive-v2.md,b72dbbf146c14d6c44709d7e7e1b462cce47db97,L15,LECTURE,reconciliation-affirmations,
Rapports/audit-gouvernance-qualite-2026-08-03.md,bf94b57194702ce4f08762a55b07d107965808ed,L15,LECTURE,reconciliation-affirmations,
Rapports/conformite-v2.0-integrale.md,da45805e8870227336e0e29e3074dc68fc81cf2c,L15,LECTURE,reconciliation-affirmations,
Rapports/p1-rapport-mimo.md,9fb42150855bf0f0252cbe49b2313b3c8737b7c4,L15,LECTURE,reconciliation-affirmations,
Recherche/rall-1-agents-orchestration.yaml,b08e8b1d17acf8f8c19a7e27bbd82e8a3f63efed,L15,LECTURE,reconciliation-affirmations,
Registres/BASELINE-COMPLETUDE.json,8e61bae07b4108a708b86465d93d6210c705dbd4,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-CAP-033A.jsonl,b78183d576bd416ccd92faa5230154f38942262d,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-COMPOSE-025.jsonl,6ae4049f55c198b55c99c9def30b8012fa0e9e46,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-DATA-002.jsonl,917a5c7df8770f21390bfd89fa96a0579d8fcc3f,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-DATA-003.jsonl,20a7de05112997ad1f119e05bb8de128cd91fe8a,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-HEALTH-028A.jsonl,cf5f76d45a7f45a3ebe18ef49133d6b54f3eeb7a,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-HEALTH-028B.jsonl,70a356f9b9eb7dfb60a0f61038d6e31d0da7edf4,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-HW-009.jsonl,93d479df317f65b851640525311565dff9e070e4,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-HW-010.jsonl,84fddc48fcef34ac2c9e2bac25bd36764641d31e,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-K8S-008.jsonl,d1f8cd5a049027f5eca6cdd0d0f3a2220104de97,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-K8S-022.jsonl,3230761b1b7937b23248922078466e68aa190b27,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-K8S-023.jsonl,353b3145037266907bfd6f77ded41ac873b56628,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-K8S-024.jsonl,9c4b19d2b5c02cf2168137c55f830a0876e35ff2,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-K8S-027.jsonl,c11d95f4b4c13d795d00570d6fffb36f2cc7c39a,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-OPT-001.jsonl,b91bfdbfcc358934f169c9b32f4cdb07adc28abf,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-OPT-002.jsonl,b31f1a0ddc6f0745f083bbd463377362a77112a9,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-ORCH-001.jsonl,665a9616d7390d06e24ed47d49fd819f8b524672,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-PLACE-011.jsonl,7c3cb028e213e18ddfe97d238693637b56e57b49,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-PLACE-026A.jsonl,92621abc20fef8b48da8e5bf5b20d6fd653def79,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-PLACE-026B.jsonl,a216c12ee97b8974efce7efab366c67383f1b43f,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-PORT-TESTPROC.jsonl,88093ef0e5a96a1f48a26729f4905a08b9abd4d5,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-RAG-004A.jsonl,c49f27f94ad6ff2d9a5ab9db78e2e6e5c2f3205b,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-RAG-004B.jsonl,978f5c9cfb654a3ee40d329b43904c2dc61e37a1,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-RAG-005.jsonl,9a9b5cca215556a9767188246cec046871cfc7a2,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-RES-012A.jsonl,31fa3b674b790c6496ae230cb4c810b2c5669390,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-RES-012B.jsonl,507021a9785b962453eb0147fdba40ce3ff3db48,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-REV-043.jsonl,40cc99dcd428c8143a5ad2023e3092f51a8a18ff,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-SAST-042.jsonl,d393c394bb8027f339e9d33baed675f345b45030,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-SECRET-020A.jsonl,736cefd7782eb6f10539a4f5b803087e0c2c56a6,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-TRUST-019A.jsonl,4e263736597cca6e8e66b19c26414867190adb22,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-TRUST-019B.jsonl,59b3608e6379e5df70c364d23506e511e5031257,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-UI-039.jsonl,33a843b3e100775575619165f8209f80e5801b04,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-UI-040.jsonl,b21be1f4357fa9f895ae8b9dc6eb16e7aed81b44,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/PATCH-WEB-001.jsonl,0ef9dd52eb330f2dc5d7527c28837c2ab377deee,L09,SCRIPT,chaine-hash|contre-implementation,
Registres/mission.jsonl,bbabecdfa48d05ca0cf4bd1e88df30977b34d0ec,L09,SCRIPT,chaine-hash|contre-implementation,
Sandbox/README.md,48ed5afcd26c5a64d80a7bc8224b97f446393c50,L15,LECTURE,reconciliation-affirmations,
coordination/active-claims.json,654667d7ed591f5457942709f0e2c97d56e3e901,L16,LECTURE|SCRIPT,reconciliation-plan-realise,
coordination/completed.json,7729f5f365c75a92815b1216347aae50ad8845c5,L16,LECTURE|SCRIPT,reconciliation-plan-realise,
coordination/work-packages.json,0f1c8d8200f6abdc1b8ae18f46479baccbe4f609,L16,LECTURE|SCRIPT,reconciliation-plan-realise,
manifests/README.md,561b18c05912e67f167cfe2ec6bf2928391e1ed1,L15,LECTURE,reconciliation-affirmations,
manifests/backlog.yaml,98edd97aa59d6bf8a7974e19997b2f341eaa481b,L16,LECTURE|SCRIPT,reconciliation-plan-realise,
manifests/gates.yaml,ad3c9cf2692d4f42ad5b5e21e76ee7c7af98dde9,L16,LECTURE|SCRIPT,reconciliation-plan-realise,
manifests/phases.yaml,8cd58d3af78ad74858de4ec3a0595bd78cd7f255,L16,LECTURE|SCRIPT,reconciliation-plan-realise,
manifests/roles.yaml,ab70642ca07e5abaabf3b78a6522f1a8f892d724,L16,LECTURE|SCRIPT,reconciliation-plan-realise,
manifests/routes.yaml,13da1f80279b8e2765628f0b41527360a261ed5a,L16,LECTURE|SCRIPT,reconciliation-plan-realise,
pyproject.toml,046630071579c8cf73bde5421f8da1ceed9eece9,L18,SCAN|LECTURE,revue-manuelle,
reviews/AUDIT-2026-08-03-round1-reject/DeepSeek-V4-Pro.verdict.json,a6884ba9042338acc64e9cadbe5bc8f4d9a68908,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round1-reject/Gemini-3.1-Pro.verdict.json,922a481071c4b1fb6f74d58bf996ccf5250fe8b0,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round1-reject/Qwen3.8-Max.verdict.json,450c6295624a6fa94b9119e6413a9654ea3571f9,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round10-reject/DeepSeek-V4-Pro.verdict.json,d176e89789cc628df43efcf21965dd0fbc2ecc79,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round10-reject/Gemini-3.1-Pro.verdict.json,cbf3e64ff069247f25d9e0529c77409f236816bd,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round10-reject/Qwen3.8-Max.verdict.json,24e177a0c9cf5b6865f3842405bf5c11b1ad8db7,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round11-approve2of3-final/DeepSeek-V4-Pro.verdict.json,73a726e4b750d655e67adec58e8ab82048b4c00e,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round11-approve2of3-final/Gemini-3.1-Pro.verdict.json,61881c75dffd7d11b02be1283fea2a7c307af833,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round11-approve2of3-final/Qwen3.8-Max.verdict.json,ccb8a309babd267a8a4229de2edabe34191b5e2a,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round2-reject/DeepSeek-V4-Pro.verdict.json,e7854129aaa7cf0b7020009cc5a6d4e1cbfac6fa,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round2-reject/Gemini-3.1-Pro.verdict.json,49377317ba31f2fa8aa10c9e68290c7e2e6e3335,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round2-reject/Qwen3.8-Max.verdict.json,425319c2c76541c6b2397cc9035be76b14503b3a,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round3-reject/DeepSeek-V4-Pro.verdict.json,96794179fa728c4c7f40d334e9d98b02cd6460ea,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round3-reject/Gemini-3.1-Pro.verdict.json,36a910d8b001331e0d274c3815e6cb5cca8362e1,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round3-reject/Qwen3.8-Max.verdict.json,edf9e1fe243cdd0dc980cac2e2586f13f1cdf5c6,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round4-reject/DeepSeek-V4-Pro.verdict.json,59b989374451ff5fd9ce2ae885e9ce98b2d2df53,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round4-reject/Gemini-3.1-Pro.verdict.json,5733d243bdef9971c9b5416db4eb71567d8dd4db,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round4-reject/Qwen3.8-Max.verdict.json,dda25f2b501fad8cff04b3f078017fedd5325c07,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round5-reject/DeepSeek-V4-Pro.verdict.json,5d5b7247e7d08fc4f85ed8baa574eeac4a2766be,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round5-reject/Gemini-3.1-Pro.verdict.json,a0ee4d02ffc4d9b5f01240f13ee2ca6431a26bce,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round5-reject/Qwen3.8-Max.verdict.json,611c4fe28609ba96497583a595508850dd3c5485,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round6-reject/DeepSeek-V4-Pro.verdict.json,e489ec52582fc6089b469595264582f7cb42a394,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round6-reject/Gemini-3.1-Pro.verdict.json,797286839b9cca068f393f2027562280ce4ae320,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round6-reject/Qwen3.8-Max.verdict.json,7b921172b8931f4fbfca77775039d9c887731537,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round7-reject/DeepSeek-V4-Pro.verdict.json,2f4d72eedeae23e55c0fcb364835113e7d25bcdf,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round7-reject/Gemini-3.1-Pro.verdict.json,903a3949371f3301f0a130921ead8682152f9922,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round7-reject/Qwen3.8-Max.verdict.json,f2d95e738bb5924a217d17e475a49ace08fff6f3,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round8-reject/DeepSeek-V4-Pro.verdict.json,e5fc9c54cc5e4c07f05f14f5d77ae973d37d3dc6,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round8-reject/Gemini-3.1-Pro.verdict.json,06df59e70cd49db0870c24e26b96379a05d7952f,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round8-reject/Qwen3.8-Max.verdict.json,6f082d9b7fc9fd1b0427d233e4ca9c810dd9a649,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round9-reject/DeepSeek-V4-Pro.verdict.json,9cbec11d1dea9976c574675ca5b450bde2e17ab5,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round9-reject/Gemini-3.1-Pro.verdict.json,6f5f439addeecd7db2e4ebc99219433a68eb6661,L10,SCRIPT,tally|integrite-sceau,
reviews/AUDIT-2026-08-03-round9-reject/Qwen3.8-Max.verdict.json,4552a65c561d3cec66f47ef9a86e5bc65e613f30,L10,SCRIPT,tally|integrite-sceau,
reviews/B-01-civ/DeepSeek-V4-Pro.verdict.json,6369f0923b596046f051888914f0b51ca25c2520,L10,SCRIPT,tally|integrite-sceau,
reviews/B-01-civ/Gemini-3.1-Pro.verdict.json,c7589cbe113861d68addf2f6b6f3724188e1df3a,L10,SCRIPT,tally|integrite-sceau,
reviews/B-01-civ/LongCat-2.0.verdict.json,16139ec7a670b87e9667a09bc400762c3c344e20,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02a-civ/GLM-5.2.verdict.json,25d8b4708ba5019176cd5cd94c701084a407635b,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02a-civ/Gemini-3.1-Pro.verdict.json,722f9376669cd55a1eeaf592e6ce76a818499774,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02a-civ/Grok-4.5.verdict.json,4256a4f723c31082a0a9839e12d24efc70ab345f,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02a-civ/pack.md,8d7d24b43ecdb69809c3ce4d332fa5ab79fbdb3b,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02b-civ/GLM-5.2.verdict.json,9e85b041c7e332cbed17d9b3dfeccd3c8d66c347,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02b-civ/Gemini-3.1-Pro.verdict.json,97cd4a9dda1ce12be96664c44b02ece3f997c7b9,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02b-civ/Qwen3.7-Max.verdict.json,d4acf21eac5f7ff1a423b1c17c8089c51851ae50,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02b-civ/pack.md,489b3d0638eeef527610072f43d16551d47eb856,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02c-civ/Gemini-3.1-Pro.verdict.json,8e19b74629d4293d1878f6a9214a62675ac3ca86,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02c-civ/Grok-4.5.verdict.json,41bfe37a5190c9bb465d4f933d0a1b5286c63abf,L10,SCRIPT,tally|integrite-sceau,
reviews/B-02c-civ/Qwen3.7-Max.verdict.json,3adb741652fc3da8670dc79c0fe7757e7d861eaa,L10,SCRIPT,tally|integrite-sceau,
