REVIEWS-SEALED GATE (déviation D9)
  OK    B-09-civ : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'meituan']
  OK    DOC-ETAT-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P0-1-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P0-1b-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P0-2-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P0-2b-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FIX-409-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P0-3a-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P0-3b-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P1-1-civ : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P1-2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P1-34 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P2-1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    P2-2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    N1a : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    N1b : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    N2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    N3 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    V1-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    D1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    E1a : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    E1b : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    E2a : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    FIX-preflight-compose : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    PROOF-ubuntu-vierge : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    SEC1-gitguardian-v2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'meituan']
  OK    E2b : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    E2c : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    E3a : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    QA1-coderabbit : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'meituan']
  OK    E3b : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    E3c : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    E4 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    E5 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    E6 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    E6-reseal : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    K-CHOICE-v2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    K-CHOICE-hardening : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    K-CHOICE-hardening2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    K8s-OPERATORS : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0002-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0008-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0001-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0010-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0015-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0001b-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0009-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0006-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0007-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0003-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0004-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0014-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0016-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0013-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0017-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0018-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0005-DESIGN : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0011-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0005-S2-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xiaomi']
  OK    FAI-0005-S1-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0005-S3-FIX : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0005-S4 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0005-S5 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    FAI-0005-S6 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    SEC-YAML-INJECT : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'meituan']
  OK    FIX-HTTPOK : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xai']
  OK    SEC-SVCSPEC-INJECT : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'meituan']
  OK    LAB-033N : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'xiaomi']
  OK    SECRET-020C : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'meituan']
  OK    LAB-033A : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'xiaomi']
  OK    LAB-033I : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'xiaomi']
  OK    GPU-034 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'xiaomi']
  OK    ERR-041A : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'xai']
  OK    CLI-013 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    CLI-036 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    ERR-041B : APPROVE 3/3 APPROVE vendors ['alibaba', 'moonshot', 'xai']
  OK    SSH-007 : APPROVE 3/3 APPROVE vendors ['alibaba', 'moonshot', 'xai']
  OK    SUPPLY-018 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    SSH-021 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    ERR-041C : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    WEB-017 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    WEB-015 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'xiaomi']
  OK    WEB-016 : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    WEB-034A : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    WEB-034B : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    PERF-030A : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    PERF-030B : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    REL-038A : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    REL-038B : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    REL-038C : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    OPS-031D : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    OPS-031A : APPROVE 3/3 APPROVE vendors ['alibaba', 'xai', 'zhipu']
  OK    OPS-031B : APPROVE 3/3 APPROVE vendors ['deepseek', 'meituan', 'xai']
  OK    OPS-031C : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    OPS-031E : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    REG-029A : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    REG-029B : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    DOC-032 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    DATA-002B : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    HEALTH-029 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    PORT-TESTPROC : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    SSH-030 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    FIX-AUDIT-1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    FIX-AUDIT-2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    FIX-AUDIT-3 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    FIX-AUDIT-4 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    AUDIT-L0b-L01 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    HEALTH-030 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-000-PR424 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-000-PR425 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-000-PR426 : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'xiaomi']
  OK    RC1-000-PR427 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-001-PR431-v10 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-002-PR432-v2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-007-PR490-v4 : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'xiaomi']
  OK    RC1-008-PR496-v5 : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'xiaomi']
  OK    RC1-493-PR-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-482-PR-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-003-PR489-v8 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'moonshot']
  OK    RC1-009 : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'moonshot']
  OK    RC1-447-PR-v5 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-004-PR497-v5 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xiaomi']
  OK    RC1-009-PR500-v3 : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'xiaomi']
  OK    RC1-010-lot0-PR501-v2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-010-lot1-PR502-v1 : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'xiaomi']
  OK    RC1-010-lot2-PR503-v4 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-446-PR-v5 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-010-lot3-PR505-v2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'moonshot']
  OK    RC1-010-lot4-PR507-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'moonshot']
  OK    RC1-010-lot5a-PR508-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'moonshot']
  OK    RC1-010-lot5b-PR510-v4 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'moonshot']
  OK    RC1-010-lot5c-PR516-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'moonshot']
  OK    ROSTER-MAJ-PR511-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'moonshot']
  OK    RC1-504-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'moonshot']
  OK    RC1-010-lot5d-PR-v7 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'openai']
  OK    BUGHUNT-2026-08-16-v3 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'openai']
  OK    RC1-538 : APPROVE 3/3 APPROVE vendors ['deepseek', 'google', 'moonshot']
  OK    RC1-442 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'xiaomi']
  OK    RC1-527-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-013-v4 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xiaomi']
  OK    RC1-020-v3 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xiaomi']
  OK    RC1-449-v19 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-542-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-542-v2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-021-v4 : APPROVE 3/3 APPROVE vendors ['google', 'moonshot', 'xiaomi']
  OK    RC1-528 : APPROVE 3/3 APPROVE vendors ['alibaba', 'meta', 'openai']
  OK    RC1-023 : APPROVE 3/3 APPROVE vendors ['alibaba', 'meta', 'openai']
  OK    RC1-498-v2 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-519-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xiaomi']
  OK    RC1-545 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'moonshot']
  OK    RC1-444-v4 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-546 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'moonshot']
  OK    RC1-440-lot6-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-544 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'moonshot']
  OK    RC1-547 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xiaomi']
  OK    RC1-registre-PR522 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'google']
  OK    RC1-460-PR520 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-533 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-020-inc2-v6 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-020-inc2-v8 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-020-inc3a-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'xiaomi']
  OK    RC1-020-inc3b-v8 : APPROVE 3/3 APPROVE vendors ['alibaba', 'openai', 'xiaomi']
  OK    RC1-018-v7 : APPROVE 3/3 APPROVE vendors ['alibaba', 'google', 'xiaomi']
  OK    RC1-015-v1 : APPROVE 3/3 APPROVE vendors ['alibaba', 'deepseek', 'laguna']
  OK    ORCH-LUNA-SOL-603-phaseA-r5 : APPROVE Sol APPROVE sur le diff exact vendors ['openai']
  OK    ORCH-LUNA-SOL-603-final-seal : APPROVE Sol APPROVE sur le diff exact vendors ['openai']
  OK    ORCH-LUNA-SOL-603-final-seal-r2 : APPROVE Sol APPROVE sur le diff exact vendors ['openai']
  OK    ORCH-LUNA-SOL-603-final-seal-r3 : APPROVE Sol APPROVE sur le diff exact vendors ['openai']
GATE OK : toutes les revues liantes sont APPROVE 3/3.
